"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"10992",2,21,0,1,58,66,-1
"10992",1,22,1,1,41,98,-1
"10992",2,23,1,0,80,58,-1
"10992",2,24,1,0,85,32,-1
"10992",1,25,0,0,15,83,-1
"10992",1,26,1,1,16,18,-1
"10992",2,27,1,0,99,56,-1
"10992",2,28,1,0,75,23,-1
"10992",1,29,1,1,18,68,-1
"10992",2,30,1,0,16,30,-1
"10992",1,31,1,1,37,86,-1
"10992",2,32,1,0,44,47,-1
"10992",2,33,1,0,91,3,-1
"10992",2,34,0,1,14,60,-1
"10992",2,35,1,0,84,54,-1
"10992",2,36,1,0,23,34,-1
"10992",1,37,1,1,28,96,-1
"10992",2,38,0,1,94,83,-1
"10992",2,39,1,0,86,63,-1
"10992",1,40,1,1,53,99,-1
"10992",2,41,1,0,91,29,-1
"10992",1,42,1,1,64,88,-1
"10992",2,43,1,0,70,84,-1
"10992",2,44,0,1,88,61,-1
"10992",2,45,1,0,43,61,-1
