"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status","magLoss","choiceB","out","outcome_blue1"
10426,1,122,0,0,76,91,1,0,1,1,1
10426,1,123,0,0,92,66,1,0,1,1,1
10426,1,124,0,0,14,67,1,0,1,1,1
10426,1,125,1,1,77,11,1,77,1,-1,0
10426,1,126,0,0,20,36,1,0,1,1,1
10426,1,127,0,0,61,44,1,0,1,1,1
10426,1,128,0,0,34,4,1,0,1,1,1
10426,1,129,0,0,63,86,1,0,1,1,1
10426,1,130,0,0,43,99,1,0,1,1,1
10426,1,131,1,1,56,95,1,56,1,-1,0
10426,1,132,0,0,63,89,1,0,1,1,1
10426,1,133,1,1,80,88,1,80,1,-1,0
10426,1,134,0,0,10,5,1,0,1,1,1
10426,1,135,1,1,80,35,1,80,1,-1,0
10426,2,136,1,0,57,8,1,0,0,1,0
10426,2,137,1,0,47,78,1,0,0,1,0
10426,2,138,1,0,99,5,1,0,0,1,0
10426,2,139,1,0,67,62,1,0,0,1,0
10426,2,140,0,1,27,95,1,95,0,-1,1
10794,1,1,1,1,37,44,-1,37,1,-1,0
10794,1,2,1,1,12,66,-1,12,1,-1,0
10794,1,3,1,1,9,98,-1,9,1,-1,0
10794,2,4,0,1,91,20,-1,20,0,-1,1
10794,1,5,1,1,8,28,-1,8,1,-1,0
10794,2,6,1,0,33,30,-1,0,0,1,0
10794,2,7,1,0,24,27,-1,0,0,1,0
10794,2,8,0,1,43,58,-1,58,0,-1,1
10794,2,9,1,0,47,72,-1,0,0,1,0
10794,2,10,0,1,44,44,-1,44,0,-1,1
10794,1,11,1,1,26,69,-1,26,1,-1,0
10794,2,12,1,0,41,6,-1,0,0,1,0
10794,1,13,1,1,34,88,-1,34,1,-1,0
10794,1,14,0,0,18,73,-1,0,1,1,1
10794,1,15,1,1,25,60,-1,25,1,-1,0
10794,1,16,1,1,6,68,-1,6,1,-1,0
10794,2,17,0,1,39,48,-1,48,0,-1,1
10794,2,18,1,0,76,35,-1,0,0,1,0
10794,2,19,1,0,85,23,-1,0,0,1,0
10794,2,20,1,0,22,54,-1,0,0,1,0
10794,2,21,0,1,58,66,-1,66,0,-1,1
10794,1,22,1,1,41,98,-1,41,1,-1,0
10794,2,23,1,0,80,58,-1,0,0,1,0
10794,2,24,1,0,85,32,-1,0,0,1,0
10794,1,25,0,0,15,83,-1,0,1,1,1
10794,2,26,1,0,16,18,-1,0,0,1,0
10794,2,27,1,0,99,56,-1,0,0,1,0
10794,2,28,1,0,75,23,-1,0,0,1,0
10794,1,29,1,1,18,68,-1,18,1,-1,0
10794,1,30,1,1,16,30,-1,16,1,-1,0
10794,2,31,1,0,37,86,-1,0,0,1,0
10794,2,32,1,0,44,47,-1,0,0,1,0
10794,2,33,1,0,91,3,-1,0,0,1,0
10794,1,34,0,0,14,60,-1,0,1,1,1
10794,2,35,1,0,84,54,-1,0,0,1,0
10794,2,36,1,0,23,34,-1,0,0,1,0
10794,1,37,1,1,28,96,-1,28,1,-1,0
10794,2,38,0,1,94,83,-1,83,0,-1,1
10794,2,39,1,0,86,63,-1,0,0,1,0
10794,2,40,1,0,53,99,-1,0,0,1,0
10794,2,41,1,0,91,29,-1,0,0,1,0
10794,2,42,1,0,64,88,-1,0,0,1,0
10794,2,43,1,0,70,84,-1,0,0,1,0
10794,2,44,0,1,88,61,-1,61,0,-1,1
10794,2,45,1,0,43,61,-1,0,0,1,0
10794,2,46,1,0,54,87,-1,0,0,1,0
10794,2,47,0,1,90,5,-1,5,0,-1,1
10794,2,48,1,0,44,71,-1,0,0,1,0
10794,2,49,1,0,52,42,-1,0,0,1,0
10794,2,50,1,0,93,39,-1,0,0,1,0
