"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status","magLoss","choiceB","out","outcome_blue1"
"C10017",1,1,1,1,37,44,-1,37,1,-1,0
"C10017",2,2,1,0,12,66,-1,0,0,1,0
"C10017",2,3,1,0,9,98,-1,0,0,1,0
"C10017",2,4,0,1,91,20,-1,20,0,-1,1
"C10017",1,5,1,1,8,28,-1,8,1,-1,0
"C10017",2,6,1,0,33,30,-1,0,0,1,0
"C10017",1,7,1,1,24,27,-1,24,1,-1,0
"C10017",2,8,0,1,43,58,-1,58,0,-1,1
"C10017",2,9,1,0,47,72,-1,0,0,1,0
"C10017",2,10,0,1,44,44,-1,44,0,-1,1
"C10017",2,11,1,0,26,69,-1,0,0,1,0
"C10017",2,12,1,0,41,6,-1,0,0,1,0
"C10017",1,13,1,1,34,88,-1,34,1,-1,0
"C10017",2,14,0,1,18,73,-1,73,0,-1,1
"C10017",2,15,1,0,25,60,-1,0,0,1,0
"C10017",2,16,1,0,6,68,-1,0,0,1,0
"C10017",2,17,0,1,39,48,-1,48,0,-1,1
"C10017",2,18,1,0,76,35,-1,0,0,1,0
"C10017",2,19,1,0,85,23,-1,0,0,1,0
"C10017",1,20,1,1,22,54,-1,22,1,-1,0
"C10017",2,21,0,1,58,66,-1,66,0,-1,1
"C10017",2,22,1,0,41,98,-1,0,0,1,0
"C10017",2,23,1,0,80,58,-1,0,0,1,0
"C10017",2,24,1,0,85,32,-1,0,0,1,0
"C10017",2,25,0,1,15,83,-1,83,0,-1,1
"C10017",2,26,1,0,16,18,-1,0,0,1,0
"C10017",2,27,1,0,99,56,-1,0,0,1,0
"C10017",2,28,1,0,75,23,-1,0,0,1,0
"C10017",2,29,1,0,18,68,-1,0,0,1,0
"C10017",1,30,1,1,16,30,-1,16,1,-1,0
"C10017",2,31,1,0,37,86,-1,0,0,1,0
"C10017",2,32,1,0,44,47,-1,0,0,1,0
"C10017",2,33,1,0,91,3,-1,0,0,1,0
"C10017",2,34,0,1,14,60,-1,60,0,-1,1
"C10017",2,35,1,0,84,54,-1,0,0,1,0
"C10017",2,36,1,0,23,34,-1,0,0,1,0
"C10017",2,37,1,0,28,96,-1,0,0,1,0
"C10017",2,38,0,1,94,83,-1,83,0,-1,1
"C10017",2,39,1,0,86,63,-1,0,0,1,0
"C10017",2,40,1,0,53,99,-1,0,0,1,0
"C10017",2,41,1,0,91,29,-1,0,0,1,0
"C10017",2,42,1,0,64,88,-1,0,0,1,0
"C10017",2,43,1,0,70,84,-1,0,0,1,0
"C10017",2,44,0,1,88,61,-1,61,0,-1,1
"C10017",2,45,1,0,43,61,-1,0,0,1,0
"C10017",2,46,1,0,54,87,-1,0,0,1,0
"C10017",2,47,0,1,90,5,-1,5,0,-1,1
"C10017",2,48,1,0,44,71,-1,0,0,1,0
"C10017",2,49,1,0,52,42,-1,0,0,1,0
"C10017",2,50,1,0,93,39,-1,0,0,1,0
"C10017",2,51,1,0,24,39,-1,0,0,1,0
"C10017",2,52,0,1,10,20,-1,20,0,-1,1
"C10017",2,53,0,1,43,85,-1,85,0,-1,1
"C10017",2,54,0,1,7,77,-1,77,0,-1,1
"C10017",1,55,1,1,90,95,-1,90,1,-1,0
"C10017",2,56,1,0,7,56,-1,0,0,1,0
"C10017",2,57,1,0,69,50,-1,0,0,1,0
"C10017",2,58,1,0,83,4,-1,0,0,1,0
"C10017",2,59,0,1,8,40,-1,40,0,-1,1
"C10017",2,60,1,0,86,47,-1,0,0,1,0
"C10017",2,61,1,0,49,15,-1,0,0,1,0
"C10017",2,62,1,0,39,17,-1,0,0,1,0
"C10017",2,63,0,1,97,76,-1,76,0,-1,1
"C10017",2,64,1,0,14,73,-1,0,0,1,0
"C10017",2,65,1,0,29,67,-1,0,0,1,0
"C10017",2,66,1,0,39,48,-1,0,0,1,0
"C10017",2,67,1,0,99,30,-1,0,0,1,0
"C10017",2,68,0,1,20,13,-1,13,0,-1,1
"C10017",2,69,1,0,59,66,-1,0,0,1,0
"C10017",2,70,1,0,60,20,-1,0,0,1,0
"C10017",2,71,1,0,25,41,1,0,0,1,0
"C10017",2,72,0,1,70,76,1,76,0,-1,1
"C10017",1,73,0,0,18,73,1,0,1,1,1
"C10017",1,74,0,0,80,41,1,0,1,1,1
"C10017",1,75,1,1,76,25,1,76,1,-1,0
"C10017",2,76,0,1,52,34,1,34,0,-1,1
"C10017",2,77,0,1,60,30,1,30,0,-1,1
"C10017",1,78,0,0,36,91,1,0,1,1,1
"C10017",1,79,0,0,59,70,1,0,1,1,1
"C10017",1,80,1,1,47,64,1,47,1,-1,0
"C10017",1,81,0,0,44,28,1,0,1,1,1
"C10017",2,82,0,1,80,2,1,2,0,-1,1
"C10017",2,83,0,1,39,20,1,20,0,-1,1
"C10017",1,84,0,0,61,32,1,0,1,1,1
"C10017",1,85,0,0,61,90,1,0,1,1,1
"C10017",1,86,1,1,70,62,1,70,1,-1,0
"C10017",2,87,0,1,33,17,1,17,0,-1,1
"C10017",1,88,0,0,17,74,1,0,1,1,1
"C10017",1,89,0,0,85,2,1,0,1,1,1
"C10017",1,90,0,0,76,39,1,0,1,1,1
"C10017",1,91,0,0,20,70,1,0,1,1,1
"C10017",1,92,1,1,69,24,1,69,1,-1,0
"C10017",1,93,1,1,52,59,1,52,1,-1,0
"C10017",1,94,0,0,43,15,1,0,1,1,1
"C10017",1,95,1,1,34,50,1,34,1,-1,0
"C10017",1,96,0,0,48,43,1,0,1,1,1
"C10017",1,97,1,1,35,14,1,35,1,-1,0
"C10017",1,98,1,1,42,12,1,42,1,-1,0
"C10017",1,99,1,1,44,40,1,44,1,-1,0
"C10017",2,100,1,0,50,88,1,0,0,1,0
"C10017",2,101,1,0,19,51,1,0,0,1,0
"C10017",2,102,1,0,59,44,1,0,0,1,0
"C10017",2,103,1,0,9,23,1,0,0,1,0
"C10017",2,104,1,0,76,23,1,0,0,1,0
"C10017",2,105,1,0,47,94,1,0,0,1,0
"C10017",2,106,0,1,56,67,1,67,0,-1,1
"C10017",1,107,1,1,16,50,1,16,1,-1,0
"C10017",2,108,1,0,7,83,1,0,0,1,0
"C10017",2,109,1,0,41,86,1,0,0,1,0
"C10017",2,110,1,0,37,61,1,0,0,1,0
"C10017",2,111,0,1,57,82,1,82,0,-1,1
"C10017",2,112,0,1,28,68,1,68,0,-1,1
"C10017",2,113,0,1,76,65,1,65,0,-1,1
"C10017",2,114,0,1,19,25,1,25,0,-1,1
"C10017",1,115,0,0,68,67,1,0,1,1,1
"C10017",1,116,0,0,68,82,1,0,1,1,1
"C10017",1,117,0,0,19,88,1,0,1,1,1
"C10017",2,118,1,0,11,55,1,0,0,1,0
"C10017",1,119,1,1,36,74,1,36,1,-1,0
"C10017",1,120,0,0,64,18,1,0,1,1,1
"C10017",1,121,0,0,3,15,1,0,1,1,1
"C10017",1,122,0,0,76,91,1,0,1,1,1
"C10017",1,123,0,0,92,66,1,0,1,1,1
"C10017",1,124,0,0,14,67,1,0,1,1,1
"C10017",1,125,1,1,77,11,1,77,1,-1,0
"C10017",1,126,0,0,20,36,1,0,1,1,1
"C10017",1,127,0,0,61,44,1,0,1,1,1
"C10017",1,128,0,0,34,4,1,0,1,1,1
"C10017",1,129,0,0,63,86,1,0,1,1,1
"C10017",1,130,0,0,43,99,1,0,1,1,1
"C10017",1,131,1,1,56,95,1,56,1,-1,0
"C10017",2,132,0,1,63,89,1,89,0,-1,1
"C10017",2,133,1,0,80,88,1,0,0,1,0
"C10017",2,134,0,1,10,5,1,5,0,-1,1
"C10017",2,135,1,0,80,35,1,0,0,1,0
