"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"H10488",1,23,0,0,54,95,1
"H10488",2,24,0,1,59,40,1
"H10488",1,25,0,0,24,29,1
"H10488",1,26,0,0,51,60,1
"H10488",1,27,0,0,65,83,1
"H10488",1,28,1,1,98,78,1
"H10488",1,29,0,0,51,56,1
"H10488",2,30,0,1,20,5,1
"H10488",1,31,0,0,2,67,1
"H10488",1,32,0,0,84,85,1
"H10488",2,33,1,0,49,7,1
"H10488",1,34,0,0,47,37,1
"H10488",2,35,0,1,91,27,1
"H10488",1,36,0,0,42,44,1
"H10488",1,37,1,1,55,31,1
"H10488",1,38,0,0,70,97,1
"H10488",1,39,0,0,9,14,1
"H10488",1,40,1,1,51,23,1
"H10488",1,41,1,1,79,89,1
"H10488",1,42,1,1,86,83,1
"H10488",2,43,1,0,62,40,1
"H10488",2,44,1,0,23,36,1
"H10488",2,45,1,0,61,65,1
"H10488",2,46,1,0,67,74,1
"H10488",1,47,1,1,41,73,1
"H10488",2,48,0,1,54,96,1
"H10488",2,49,1,0,88,86,1
"H10488",2,50,1,0,66,43,1
"H10488",2,51,1,0,79,72,1
"H10488",2,52,0,1,13,71,1
"H10488",2,53,1,0,53,78,1
"H10488",2,54,1,0,90,57,1
"H10488",2,55,0,1,12,3,1
"H10488",2,56,1,0,64,2,1
"H10488",1,57,1,1,9,99,1
"H10488",2,58,1,0,42,21,1
"H10488",2,59,1,0,72,83,1
"H10488",2,60,1,0,11,37,1
"H10488",2,61,0,1,81,67,1
"H10488",2,62,1,0,14,12,1
"H10488",2,63,0,1,90,78,1
"H10488",2,64,0,1,53,46,1
"H10488",1,65,0,0,42,30,1
"H10488",1,66,0,0,65,36,1
"H10488",1,67,0,0,49,49,1
"H10488",1,68,0,0,10,44,1
"H10488",1,69,0,0,64,70,1
"H10488",2,70,0,1,95,68,1
"H10488",1,71,0,0,46,38,-1
"H10488",1,72,0,0,24,18,-1
"H10488",1,73,0,0,78,82,-1
"H10488",1,74,0,0,54,59,-1
"H10488",1,75,0,0,33,36,-1
"H10488",1,76,1,1,56,49,-1
"H10488",2,77,0,1,83,26,-1
"H10488",2,78,0,1,81,38,-1
"H10488",1,79,0,0,3,12,-1
"H10488",1,80,0,0,38,62,-1
"H10488",1,81,0,0,50,43,-1
"H10488",1,82,0,0,47,50,-1
"H10488",1,83,1,1,35,41,-1
"H10488",2,84,0,1,62,9,-1
"H10488",1,85,0,0,58,60,-1
"H10488",1,86,0,0,31,88,-1
"H10488",1,87,0,0,44,56,-1
"H10488",1,88,1,1,15,31,-1
"H10488",1,89,0,0,31,90,-1
"H10488",1,90,0,0,76,80,-1
"H10488",1,91,0,0,4,78,-1
"H10488",1,92,0,0,28,60,-1
"H10488",1,93,1,1,99,56,-1
"H10488",2,94,0,1,45,31,-1
"H10488",1,95,0,0,16,55,-1
"H10488",1,96,1,1,89,12,-1
"H10488",1,97,0,0,4,49,-1
"H10488",1,98,0,0,12,69,-1
"H10488",1,99,1,1,26,49,-1
"H10488",1,100,0,0,76,75,-1
"H10488",2,101,0,1,90,22,-1
"H10488",1,102,1,1,23,26,-1
"H10488",2,103,0,1,68,11,-1
"H10488",1,104,1,1,82,71,-1
"H10488",2,105,0,1,95,86,-1
"H10488",2,106,0,1,88,79,-1
"H10488",1,107,0,0,40,75,-1
"H10488",2,108,0,1,94,11,-1
"H10488",1,109,1,1,44,53,-1
"H10488",1,110,0,0,17,85,-1
"H10488",1,111,1,1,32,85,-1
"H10488",2,112,0,1,68,38,-1
"H10488",2,113,0,1,93,28,-1
"H10488",2,114,0,1,95,13,-1
"H10488",1,115,0,0,60,69,-1
"H10488",1,116,1,1,95,56,-1
"H10488",2,117,0,1,41,2,-1
"H10488",1,118,0,0,5,42,-1
"H10488",1,119,0,0,30,44,-1
"H10488",1,120,0,0,4,79,-1
"H10488",1,121,0,0,87,83,-1
"H10488",1,122,0,0,44,59,-1
"H10488",1,123,1,1,10,15,-1
"H10488",1,124,0,0,15,60,-1
"H10488",1,125,0,0,25,73,-1
"H10488",1,126,0,0,23,43,-1
"H10488",2,127,0,1,87,22,-1
"H10488",2,128,1,0,77,27,-1
"H10488",1,129,0,0,35,99,-1
"H10488",1,130,1,1,39,49,-1
"H10488",1,131,0,0,60,83,-1
"H10488",1,132,1,1,54,61,-1
"H10488",1,133,0,0,34,82,-1
"H10488",1,134,0,0,86,96,-1
"H10488",1,135,0,0,27,65,-1
"H10488",2,136,0,1,93,63,-1
"H10488",1,137,0,0,40,65,-1
"H10488",2,138,0,1,69,7,-1
"H10488",1,139,1,1,28,94,-1
"H10488",1,140,0,0,4,90,-1
"H10894",1,1,1,1,10,23,1
"H10894",2,2,1,0,97,45,1
"H10894",2,3,1,0,62,54,1
"H10894",1,4,0,0,16,99,1
"H10894",1,5,1,1,40,72,1
"H10894",2,6,1,0,88,98,1
"H10894",2,7,1,0,54,6,1
"H10894",2,8,1,0,55,64,1
"H10894",2,9,0,1,45,96,1
"H10894",2,10,1,0,19,28,1
